"Mun","entrada/abril/202002.zip","entrada/maio/202002.zip","Diff","Percent"
"OUROESTE - SP",1444965.51,1444965.51,0.00,0.00
"GUAICARA - SP",1342211.98,1342211.98,0.00,0.00
"MARZAGAO - GO",910493.77,910493.77,0.00,0.00
"ROSANA - SP",2144321.76,2144321.76,0.00,0.00
"AGUA LIMPA - GO",1027940.04,1027940.04,0.00,0.00
"PIRACICABA - SP",21663958.65,21663958.65,0.00,0.00
"ESTADO - DF",155251071.10,155251071.10,0.00,0.00
"APORE - GO",1117564.35,1117564.35,0.00,0.00
"IPAMERI - GO",3099822.20,3099822.20,-0.00,-0.00
"CERQUEIRA CESAR - SP",2243488.76,2243488.76,-0.00,-0.00
"PARAGUACU - MG",2394286.67,2394286.67,-0.00,-0.00
"AGUANIL - MG",1194522.88,1194522.88,-0.00,-0.00
"PASSOS - MG",8377742.37,8377742.37,-0.00,-0.00
"CONQUISTA - MG",1177131.30,1177131.30,0.00,0.00
"POTIRENDABA - SP",2221951.97,2221951.97,0.00,0.00
"DIAMANTE D'OESTE - PR",1328106.75,1328106.75,0.00,0.00
"GOUVELANDIA - GO",1386437.80,1386437.80,0.00,0.00
"PALMEIRA D'OESTE - SP",1129699.91,1129699.91,-0.00,-0.00
"MESOPOLIS - SP",932964.54,932964.54,0.00,0.00
"FAMA - MG",1015928.89,1015928.89,-0.00,-0.00
"DELTA - MG",1593762.62,1593762.62,0.00,0.00
"PONTES GESTAL - SP",981638.92,981638.92,0.00,0.00
"SAO MANUEL - SP",3540094.55,3540094.55,-0.00,-0.00
"COLOMBIA - SP",1381153.13,1381153.13,0.00,0.00
"DAVINOPOLIS - GO",946834.17,946834.17,-0.00,-0.00
"ITAPAGIPE - MG",2019830.26,2019830.26,-0.00,-0.00
"NAZARENO - MG",1323029.55,1323029.55,0.00,0.00
"GOIANIA - GO",111430353.61,111430353.61,0.00,0.00
